id,ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,salary,positions,Lat,Long,mtg30,mtg_by_sal,mbs,rent12,rent_by_sal,rbs,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,rank
54,66,Greensboro,NC,"$43,310","$142,758",$777,69.2,49,38.8,3.9%,"$165,533","$56,735",11,36.0956,-79.8268,"$7,658 ",13%,13,"$9,324",16%,16,15%,14.5,39,105,80.5,54
59,67,Columbia,SC,"$43,840","$144,192",$889,75.6,53.9,36.3,2.2%,"$148,470","$45,368",18,34.0376,-80.9037,"$6,869 ",15%,15,"$10,668",24%,24,20%,19.5,58,125,86.5,59
53,68,Oklahoma City,OK,"$46,070","$150,925",$827,72.2,50.7,34.9,3.0%,"$141,460","$88,481",21,35.4676,-97.5137,"$6,545 ",7%,7,"$9,924",11%,11,9%,9,11,79,77,53
51,69,Dayton,OH,"$48,700","$126,325",$770,61,42.8,39.4,4.1%,"$60,144","$80,582",30,39.7797,-84.1998,"$2,783 ",3%,3,"$9,240",11%,11,7%,7,4,73,76,51
66,70,Anchorage,AK,"$58,980","$259,900","$1,237",9.3,43.9,33.5,5.4%,"$374,498","$61,896",5,61.1508,-149.109,"$17,326 ",28%,28,"$14,844",24%,24,26%,26,93,163,96,66
63,71,Las Vegas,NV,"$44,450","$271,767","$1,048",80,58.6,36.9,3.9%,"$299,816","$59,846",19,36.2333,-115.265,"$13,871 ",23%,23,"$12,576",21%,21,22%,22,82,153,93,63
57,72,Augusta,GA,"$44,020","$147,427",$809,76.8,50.9,37.2,3.2%,"$108,586","$55,407",6,33.3645,-82.0708,"$5,024 ",9%,9,"$9,708",18%,18,14%,13.5,20,92,85.5,57
87,73,Santa Barbara,CA,"$54,320","$463,750","$1,496",73,54,33.7,3.4%,"$1,151,867","$76,792",4,34.4285,-119.72,"$53,290 ",69%,69,"$17,952",23%,23,46%,46,106,179,119,87
79,74,Santa Rosa,CA,"$53,890","$629,917","$1,456",71,44.2,41.4,2.5%,"$601,921","$63,924",8,38.4458,-122.707,"$27,847 ",44%,44,"$17,472",27%,27,36%,35.5,101,175,109.5,79
67,75,Myrtle Beach,SC,"$35,890","$181,800",$883,81,39,46.5,3.2%,"$265,484","$52,502",0,33.7096,-78.8842,"$12,282 ",23%,23,"$10,596",20%,20,22%,21.5,81,156,96.5,67
61,76,Tucson,AZ,"$46,140","$203,458",$861,83.1,55.7,38.2,4.3%,"$218,379","$70,773",3,32.1545,-110.878,"$10,103 ",14%,14,"$10,332",15%,15,15%,14.5,46,122,90.5,61
60,77,Salem,OR,"$47,240","$269,367",$877,83.6,42.4,36.3,3.8%,"$293,913","$105,531",2,44.9232,-123.024,"$13,598 ",13%,13,"$10,524",10%,10,12%,11.5,36,113,88.5,60
62,79,Wichita,KS,"$43,880","$143,850",$769,67.6,45.5,35.8,3.4%,"$136,662","$55,541",7,37.6897,-97.3441,"$6,323 ",11%,11,"$9,228",17%,17,14%,14,29,108,93,62
65,80,Springfield,MO,"$40,560","$146,416",$721,43,22.5,36.6,3.1%,"$146,501","$52,813",5,37.1943,-93.2915,"$6,778 ",13%,13,"$8,652",16%,16,15%,14.5,40,120,94.5,65
73,82,Sacramento,CA,"$55,010","$389,858","$1,157",73.8,47.6,37,3.4%,"$354,148","$69,119",30,38.5667,-121.468,"$16,384 ",24%,24,"$13,884",20%,20,22%,22,85,167,104,73
68,83,Tulsa,OK,"$45,260","$149,000",$804,71.3,50.1,36.8,3.3%,"$131,658","$57,260",6,36.1284,-95.9043,"$6,091 ",11%,11,"$9,648",17%,17,14%,14,27,110,97,68
64,85,Cleveland,OH,"$45,589","$132,516",$782,59.2,45.9,41,4.0%,"$65,532","$65,755",31,41.4767,-81.6805,"$3,032 ",5%,5,"$9,384",14%,14,10%,9.5,7,92,94.5,64
72,86,Springfield,MA,"$50,930","$199,650",$903,59.2,37.3,38.2,3.5%,"$174,482","$62,089",34,42.1155,-72.5395,"$8,072 ",13%,13,"$10,836",17%,17,15%,15,42,128,101,72
75,87,York,PA,"$44,740","$164,258",$915,,,41,4.0%,"$176,340","$52,974",22,39.9651,-76.7315,"$8,158 ",15%,15,"$10,980",21%,21,18%,18,56,143,105,75
71,88,Little Rock,AR,"$43,780","$147,150",$805,72.8,52.4,36.5,3.3%,"$150,536","$63,600",23,34.7255,-92.358,"$6,964 ",11%,11,"$9,660",15%,15,13%,13,26,114,101,71
70,89,Birmingham,AL,"$47,300","$171,450",$831,73.8,52.6,38.4,2.4%,"$59,747","$54,892",20,33.5277,-86.7987,"$2,764 ",5%,5,"$9,972",18%,18,12%,11.5,8,97,100.5,70
77,91,Providence,RI,"$52,220","$228,804",$925,60.6,42.5,40.2,3.4%,"$240,913","$62,635",25,41.823,-71.4187,"$11,146 ",18%,18,"$11,100",18%,18,18%,18,70,161,109,77
69,92,Detroit,MI,"$52,100","$156,508",$890,57.8,42.7,40,4.0%,"$34,909","$70,109",60,42.3834,-83.1024,"$1,615 ",2%,2,"$10,680",15%,15,9%,8.5,2,94,100.5,69
74,94,Toledo,OH,"$44,180","$117,850",$710,59.9,40.6,37.3,4.4%,"$73,883","$56,309",2,41.6639,-83.5822,"$3,418 ",6%,6,"$8,520",15%,15,11%,10.5,10,104,104.5,74
82,95,New Haven,CT,"$55,450","$204,475","$1,100",60.6,43.7,40.1,3.6%,"$196,009","$63,005",22,41.3112,-72.9246,"$9,068 ",14%,14,"$13,200",21%,21,18%,17.5,51,146,112.5,82
80,96,Lafayette,LA,"$39,940","$165,500",$769,,,35.4,5.0%,"$172,849","$55,852",4,30.2084,-92.0323,"$7,997 ",14%,14,"$9,228",17%,17,16%,15.5,48,144,111.5,80
76,97,Youngstown,OH,"$41,360","$86,850",$652,58.3,39.7,43.9,5.8%,"$25,638","$53,789",16,41.0993,-80.6463,"$1,186 ",2%,2,"$7,824",15%,15,9%,8.5,1,98,105.5,76
78,98,Scranton,PA,"$41,980","$100,600",$745,58.7,40,42.8,5.6%,"$90,374","$55,851",11,41.4044,-75.6649,"$4,181 ",7%,7,"$8,940",16%,16,12%,11.5,13,111,109.5,78
86,99,Daytona Beach,FL,"$38,710","$192,817",$990,80.1,61.6,47.1,3.2%,"$178,429","$53,872",5,29.1994,-81.0982,"$8,255 ",15%,15,"$11,880",22%,22,19%,18.5,57,156,117.5,86
81,100,Baltimore,MD,"$56,400","$248,833","$1,220",65,45.1,38.3,3.4%,"$148,820","$86,191",97,39.3051,-76.6144,"$6,885 ",8%,8,"$14,640",17%,17,13%,12.5,16,116,112.5,81
85,101,Killeen,TX,"$41,770","$155,500",$888,,,31.1,3.6%,"$135,104","$51,142",20,31.0755,-97.7297,"$6,250 ",12%,12,"$10,656",21%,21,17%,16.5,35,136,117.5,85
84,102,Philadelphia,PA,"$54,940","$200,142","$1,075",64.6,47.1,38.6,4.3%,"$178,942","$71,872",171,40.0077,-75.1339,"$8,279 ",12%,12,"$12,900",18%,18,15%,15,33,135,117,84
95,103,Virginia Beach,VA,"$47,410","$220,275","$1,124",68.2,52,35.7,2.9%,"$287,932","$56,881",30,36.7335,-76.0435,"$13,321 ",23%,23,"$13,488",24%,24,24%,23.5,83,186,126.5,95
88,104,Chicago,IL,"$54,160","$221,983","$1,048",59,40.7,37,3.6%,"$221,752","$73,041",199,41.8373,-87.6862,"$10,259 ",14%,14,"$12,576",17%,17,16%,15.5,49,153,119.5,88
90,105,Corpus Christi,TX,"$44,710",,$940,,,35.7,4.2%,"$158,264","$55,890",1,27.7261,-97.3755,"$7,322 ",13%,13,"$11,280",20%,20,17%,16.5,43,148,121.5,90
92,106,Albuquerque,NM,"$46,400","$201,900",$850,68.7,45.4,37.7,4.5%,"$213,805","$58,249",9,35.1053,-106.646,"$9,891 ",17%,17,"$10,200",18%,18,18%,17.5,67,173,123.5,92
104,107,Los Angeles,CA,"$53,803","$526,214","$1,362",69,56.2,35.9,3.9%,"$756,217","$73,934",164,34.1139,-118.407,"$34,986 ",47%,47,"$16,344",22%,22,35%,34.5,103,210,141.5,104
89,108,Beaumont,TX,"$47,900",,$797,,,36.9,5.4%,"$109,736","$55,174",0,30.085,-94.1451,"$5,077 ",9%,9,"$9,564",17%,17,13%,13,18,126,121,89
94,109,Baton Rouge,LA,"$44,500","$179,350",$873,78.9,57.9,34.9,4.6%,"$189,254","$58,626",13,30.4419,-91.131,"$8,756 ",15%,15,"$10,476",18%,18,17%,16.5,53,162,125.5,94
97,110,El Paso,TX,"$38,610","$151,300",$789,77.4,51.6,31.9,3.8%,"$136,997","$36,786",3,31.8479,-106.431,"$6,338 ",17%,17,"$9,468",26%,26,22%,21.5,69,179,131.5,97
91,111,Jackson,MS,"$42,770",,$838,75.5,53.6,36,4.8%,"$44,573","$56,851",7,32.3163,-90.2124,"$2,062 ",4%,4,"$10,056",18%,18,11%,11,6,117,122,91
103,113,Miami,FL,"$46,860","$247,113","$1,232",84.3,70,40.7,2.7%,"$392,862","$64,384",46,25.7839,-80.2102,"$18,175 ",28%,28,"$14,784",23%,23,26%,25.5,92,205,138.5,103
98,114,New Orleans,LA,"$43,310","$193,575",$947,78.2,61.1,37.7,4.6%,"$225,899","$53,047",5,30.0687,-89.9288,"$10,451 ",20%,20,"$11,364",21%,21,21%,20.5,77,191,134.5,98
93,115,Flint,MI,"$45,820","$121,900",$738,,,40.1,4.7%,"$24,470","$52,617",1,43.0235,-83.6922,"$1,132 ",2%,2,"$8,856",17%,17,10%,9.5,3,118,124.5,93
96,116,Brownsville,TX,"$35,240",,$683,,,31.4,5.6%,"$103,350","$49,968",1,25.998,-97.4565,"$4,781 ",10%,10,"$8,196",16%,16,13%,13,23,139,129,96
108,117,Salinas,CA,"$48,290","$581,342","$1,338",,,33.9,5.7%,"$521,572","$60,591",2,36.6884,-121.632,"$24,130 ",40%,40,"$16,056",26%,26,33%,33,100,217,150,108
100,118,Memphis,TN,"$43,950","$151,900",$883,72.4,53.6,35.9,4.1%,"$93,598","$43,121",9,35.1046,-89.9773,"$4,330 ",10%,10,"$10,596",25%,25,18%,17.5,24,142,135.5,100
102,119,Fresno,CA,"$45,510","$260,733",$931,76.7,51.9,31.8,6.9%,"$257,940","$60,100",3,36.7831,-119.794,"$11,933 ",20%,20,"$11,172",19%,19,20%,19.5,75,194,138.5,102
105,120,Modesto,CA,"$46,176","$289,168","$1,011",76,51.3,32.9,5.8%,"$313,307","$59,367",4,37.6374,-121.003,"$14,495 ",24%,24,"$12,132",20%,20,22%,22,84,204,142,105
101,121,Mobile,AL,"$43,830","$126,976",$828,,,37.3,3.4%,"$127,644","$55,249",1,30.6782,-88.1163,"$5,905 ",11%,11,"$9,936",18%,18,15%,14.5,30,151,135.5,101
99,122,Shreveport,LA,"$39,400",,$789,,,36.7,5.5%,"$103,134","$55,397",3,32.4659,-93.7959,"$4,771 ",9%,9,"$9,468",17%,17,13%,13,19,141,135,99
107,123,Stockton,CA,"$46,770","$352,350","$1,100",74.3,48.3,33.9,5.7%,"$320,134","$59,113",6,37.9766,-121.311,"$14,811 ",25%,25,"$13,200",22%,22,24%,23.5,88,211,146.5,107
106,124,Bakersfield,CA,"$47,680","$226,908",$933,76.8,53.5,31.3,7.4%,"$254,820","$59,792",2,35.353,-119.036,"$11,789 ",20%,20,"$11,196",19%,19,20%,19.5,74,198,143.5,106
